name,circulating_supply,max_supply,symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percentage_change_1h,percentage_change_24h,percentage_change_7d,price,volume_24h
CXN Network,135693897,269358869,CXN,141105,1.21322093178108,3.34564765310883,0.0,1.21322093178108,3.34564765310883,0.0,0.00105167,1052
Cybercoin,0,853119831,CBR,0,0.0,1.63492954947677,55.257239294587,0.0,1.63492954947677,55.257239294587,7.917e-05,61
CyberFi,1627650,2400000,CFI,9969506,1.49845469929096,5.46694584932095,46.2108075413497,1.49845469929096,5.46694584932095,46.2108075413497,6.14,293915
CyberTronchain,0,100000000,CTC,0,-0.579938173161396,-21.0185111373235,-45.8353552130271,-0.579938173161396,-21.0185111373235,-45.8353552130271,24.74,72992
Cyclops Treasure,0,1000,CYTR,0,-0.316257048098138,0.582017341805302,-0.0586841305375216,-0.316257048098138,0.582017341805302,-0.0586841305375216,151.57,1423
CY Finance,0,100000000000,CYF,0,0.0,0.0,0.452818036539893,0.0,0.0,0.452818036539893,6.06e-06,12
Danat Coin,0,100000000,DNC,0,-1.12192958881924,-6.64411852575832,7.3788179311598,-1.12192958881924,-6.64411852575832,7.3788179311598,0.219228,4597
Dandy Dego,0,1375,DANDY,0,0.0,0.0,0.0,0.0,0.0,0.0,219.82,0
DAOFi,57502271,100000000,DAOFI,6384944,0.660766995634056,7.35452912981477,24.3985835669639,0.660766995634056,7.35452912981477,24.3985835669639,0.110672,255311
Dappcents,0,0,DPC,0,0.0,-31.9426598965731,-39.0288134402161,0.0,-31.9426598965731,-39.0288134402161,0.00059001,124
Dark.Build,0,100000,DARK,0,0.0,0.0,-7.19587159335501,0.0,0.0,-7.19587159335501,3.73,162
Dark Energy Crystals,0,1000000000000,DEC,0,14.8451887951671,50.1841454738209,220.125121224153,14.8451887951671,50.1841454738209,220.125121224153,0.00482902,433530
Darma Cash,0,460000000,DMCH,0,0.217459277081665,0.317695054500366,3.98965082258376,0.217459277081665,0.317695054500366,3.98965082258376,0.305621,54435
Darwinia Commitment Token,39322,74722,KTON,1868543,-0.652902127161742,0.483179946243706,24.0083893647477,-0.652902127161742,0.483179946243706,24.0083893647477,46.77,385396
